IsomericSmiles	CID	MolecularFormula	MolecularWeight	RotatableBondCount	HeavyAtomCount	AtomChiralCount
CCN(CC(=O)C)C(C1=CC=CC=C1)C(=O)OC(C)(C)C	146168522	C17H25NO3	291.400	8	21	1
CCN(CC(=O)OCC)C(C1=CC=CC=C1)C(=O)OC	146168519	C15H21NO4	279.330	9	20	1
C1=CC=C(C=C1)CN(CC2=CC=CC=C2)C(C3=CC=C(C=C3)F)C(=O)O	146161459	C22H20FNO2	349.400	7	26	1
CC.CCCN1CCN(CC1)C(C2=CC=CC=C2CC)C(=O)O	145524776	C19H32N2O2	320.500	6	23	1
CC.CC.CCC.CC(=C)N1CCN(CC1)C(C2=CC=CC=C2)C(=O)O	145520251	C22H40N2O2	364.600	4	26	1
CC.CC(C)N(C)C(CC1=CC=CC=C1)C(=O)O	145086414	C15H25NO2	251.360	5	18	1
CN(C)C(C1=CC=CC=C1C(F)(F)F)C(=O)O.Cl	144259917	C11H13ClF3NO2	283.670	3	18	1
CC1CCC(=C)N1C(C2=CC=CC=C2)C(=O)O	144187943	C14H17NO2	231.290	3	17	2
CCC(CCN(C)C(C1=CC=CC=C1)C(=O)O)O	144097938	C14H21NO3	251.320	7	18	2
CC=C.CC1=C(C(=CC=C1)C(C(=O)O)N(C)C)C.C#C	144097931	C17H25NO2	275.400	3	20	1
CCCC1=C(C(=CC=C1)[C@H](C(=O)O)N2CCCCC2)F	144097912	C16H22FNO2	279.350	5	20	1
CCN(C)CCN(C)C(C1=CC=CC=C1)C(=O)O	144097407	C14H22N2O2	250.340	7	18	1
CC(C)C1CC1C(C(=O)O)N(C)CC2=CC=CC=C2	144070639	C16H23NO2	261.360	6	19	3
CCCC1=CC(=CC=C1)[C@H](C(=O)O)N2CCCCC2	143939569	C16H23NO2	261.360	5	19	1
CC(CC=C)(NC(C1=CC=CC=C1)C(=O)O)O	143355859	C13H17NO3	235.280	6	17	2
CC(C)N(CCCCCCCCC(=O)O)CC1=CC=CC=C1	143070832	C19H31NO2	305.500	12	22	0
CC1(CCN(CC1)[C@@H](C2=CC=CC=C2)C(=O)O)O	142790501	C14H19NO3	249.300	3	18	1
CCN[C@@H](C1=CC=CC=C1)C(=O)O.Cl	142790500	C10H14ClNO2	215.670	4	14	1
CCCCCCC(C1=CC=CC=C1)(C(=O)O)N(C)C	142680524	C16H25NO2	263.370	8	19	1
[2H]CC(C)(C)OC(=O)N(CC(=O)O)C(C1=CC=CC=C1)C(=O)O	142658895	C15H19NO6	310.320	7	22	1
CCCCN(CCCC)C(CC1=CC=CC=C1)C(=O)O	142440530	C17H27NO2	277.400	10	20	1
CC.CCCN(CC)C(CC1=CC=CC=C1)C(=O)O	142440524	C16H27NO2	265.390	7	19	1
